sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
CCA1506	Eucalyptus melliodora x E. sideroxylon		-33.91777778	145.9430556	152	WGS84	East of Goolgowi, Mid Western Highway, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1507	Eucalyptus melliodora x E. sideroxylon		-33.91777778	145.9430556	152	WGS84	East of Goolgowi, Mid Western Highway, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1515	Eucalyptus ammophila		-23.56	145.7183333			Barcaldine, Qld	Dean Nicolle				dp15		
CCA1523	Eucalyptus wimmerensis		-36.06527778	140.7336111			Bordertown, SA	Dean Nicolle				dp15		
CCA1543	Eucalyptus microcarpa		-33.90361111	147.30111110000001	215	WGS84	East of West Wyalong, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1557	Eucalyptus sicilifolia		-24.08305556	148.0752778			Springsure, Qld	Dean Nicolle				dp15		
CCA1563	Eucalyptus tholiformis		-24.39694444	147.3713889			Springsure, Qld	Dean Nicolle				dp15		
CCA1564	Eucalyptus platyphylla		-16.25194444	133.3975	198	WGS84	Near Daly Waters on Stuart HW, Northern Territory	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1565	Eucalyptus suffulgens		-25.1925	149.9711111			Isla Gorge, Qld	Dean Nicolle				dp15		
CCA1574	Eucalyptus thozetiana		-23.61972222	146.2561111			Jericho, Qld	Dean Nicolle				dp15		
CCA1581	Eucalyptus tereticornis subsp. rotunda		-24.9075	148.0425			Carnarvon Range, Qld	Dean Nicolle				dp15		
CCA1587	Eucalyptus brownii		-20.55888889	145.3622222			Pentland, Qld	Dean Nicolle				dp15		
CCA1590_rep1	Eucalyptus corynodes		-25.46027778	150.3041667			Cracow, Qld	Dean Nicolle				dp15		
CCA1590_rep2	Eucalyptus corynodes		-25.46027778	150.3041667			Cracow, Qld	Dean Nicolle				dp15		
CCA1592	Eucalyptus exilipes		-20.71083333	145.2222222			White Mountains, Qld	Dean Nicolle				dp15		
CCA1594	Eucalyptus infera		-28.39944444	151.7030556	776	WGS84	State Forest south-west of Warwick, Queensland.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1598	Eucalyptus decorticans		-25.38083333	151.1505556			Eidsvold, Qld	Dean Nicolle				dp15		
CCA1605	Eucalyptus persistens		-20.66111111	145.2541667			White Mountains, Qld	Dean Nicolle				dp15		
CCA1620	Eucalyptus atrata		-17.38694444	145.3322222			Herberton, Qld	Dean Nicolle				dp15		
CCA1635	Eucalyptus chloroclada		-28.30027778	151.925			Warwick, Qld	Dean Nicolle				dp15		
CCA1643	Eucalyptus lockyeri		-17.58861111	145.4647222			Ravenshoe, Qld	Dean Nicolle				dp15		
CCA1644	Eucalyptus camaldulensis subsp. simulata		-15.55527778	144.4391667	75	WGS84	Near Laura, QLD	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1650	Corymbia gummifera		-33.68416667	151.2316667	210	WGS84	Ku-Ring-Gai Chase National Park, near Sydney, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1654	Eucalyptus grandis		-31.69166667	152.7341667	13	WGS84	south of Kew on Pacific HW, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1655	Eucalyptus grandis		-31.69166667	152.7341667	13	WGS84	south of Kew on Pacific HW, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1657	Eucalyptus granitica		-17.38722222	145.3461111	1027	WGS84	Between Herberton and Irvinebank, QLD	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
